Name,Address,Category,Description,Phone Number,Hours of Operation
Bellevue Hospital Center,"462 First Ave, New York, NY 10016",Healthcare,Comprehensive health services including mental health care and addiction treatment.,(212) 555-5678,24/7
Mount Sinai Hospital,"1 Gustave L. Levy Pl, New York, NY 10029",Healthcare,Offers medical care for individuals in underserved communities.,(212) 555-6789,24/7
NYC Health + Hospitals,"125 Worth St, New York, NY 10013",Healthcare,"Provides free or low-cost healthcare to NYC residents, including immigrants.",(212) 555-4568,Mon-Fri: 9am - 5pm
Mount Sinai Beth Israel Hospital,"16th St & 1st Ave, New York, NY 10003",Healthcare,"Provides emergency care, medical services, and specialty programs.",(212) 555-3458,24/7
NYU Langone Medical Center,"550 1st Ave, New York, NY 10016",Healthcare,World-class hospital offering comprehensive health services.,(212) 555-9876,24/7
Rivington House Healthcare Center,"45 Rivington St, New York, NY 10002",Healthcare,Healthcare services for those with chronic illness and HIV/AIDS.,(212) 555-7891,Mon-Fri: 9am - 5pm
Brightpoint Health,"225 E 7th St, New York, NY 10009",Healthcare,"Provides outpatient mental health services, addiction treatment, and primary care.",(212) 555-3333,Mon-Fri: 9am - 6pm
Lenox Hill Hospital,"100 E 77th St, New York, NY 10075",Healthcare,"General hospital with specialties in cancer, cardiology, and pediatric care.",(212) 555-1239,24/7
Woodhull Medical Center,"760 Broadway, Brooklyn, NY 11206",Healthcare,"Provides emergency care, behavioral health services, and more.",(718) 555-3450,Mon-Sun: 24/7
St. John’s Episcopal Hospital,"327 Beach 19th St, Far Rockaway, NY 11691",Healthcare,"Provides emergency, behavioral, and primary healthcare services.",(718) 555-5670,Mon-Sun: 24/7